Group,Task,Date,Start,Finish,Minutes,Duration
Media,Podcasts,2019/09/02,11:53 AM,1:33 PM,100,01:40:00
Media,Podcasts,2019/09/03,1:32 AM,4:24 AM,172,02:52:00
Media,Podcasts,2019/09/03,11:15 PM,11:59 PM,45,00:45:00
Media,Podcasts,2019/09/04,12:00 AM,12:45 AM,45,00:45:00
Media,Podcasts,2019/09/04,1:09 AM,1:40 AM,31,00:31:00
Media,Podcasts,2019/09/04,10:50 AM,4:40 PM,350,05:50:00
Media,Podcasts,2019/09/04,5:22 PM,7:13 PM,111,01:51:00
Media,Podcasts,2019/09/04,10:56 PM,11:59 PM,64,01:04:00
Media,Podcasts,2019/09/05,12:00 AM,1:48 AM,108,01:48:00
Media,Podcasts,2019/09/05,12:35 PM,6:53 PM,378,06:18:00
Media,Podcasts,2019/09/06,1:55 AM,2:24 AM,29,00:29:00
Media,Podcasts,2019/09/07,12:44 AM,1:32 AM,48,00:48:00
Media,Podcasts,2019/09/07,4:52 PM,7:40 PM,168,02:48:00
Media,Podcasts,2019/09/07,7:49 PM,10:23 PM,154,02:34:00
Media,Podcasts,2019/09/08,1:36 AM,2:28 AM,52,00:52:00
Media,Podcasts,2019/09/08,11:47 AM,12:10 PM,23,00:23:00
Media,Podcasts,2019/09/08,1:05 PM,2:09 PM,64,01:04:00
Media,Podcasts,2019/09/08,3:06 PM,4:57 PM,111,01:51:00
Media,Podcasts,2019/09/08,5:33 PM,7:12 PM,99,01:39:00
Media,Podcasts,2019/09/10,12:35 AM,2:00 PM,805,13:25:00
Media,Podcasts,2019/09/10,11:39 PM,11:59 PM,21,00:21:00
Media,Podcasts,2019/09/11,12:00 AM,2:52 AM,172,02:52:00
Media,Podcasts,2019/09/11,11:05 AM,3:08 PM,243,04:03:00
Media,Podcasts,2019/09/12,4:58 PM,5:03 PM,5,00:05:00
Media,Podcasts,2019/09/12,7:46 PM,9:28 PM,102,01:42:00
Media,Podcasts,2019/09/13,1:18 AM,2:04 AM,46,00:46:00
Media,Podcasts,2019/09/13,11:26 AM,11:57 AM,31,00:31:00
Media,Podcasts,2019/09/13,4:04 PM,7:05 PM,181,03:01:00
Media,Podcasts,2019/09/14,1:07 AM,1:46 AM,39,00:39:00
Media,Podcasts,2019/09/14,4:25 PM,5:47 PM,82,01:22:00
Media,Podcasts,2019/09/14,10:20 PM,11:06 PM,46,00:46:00
Media,Podcasts,2019/09/15,12:20 AM,12:51 AM,31,00:31:00
Media,Podcasts,2019/09/15,1:31 AM,2:00 AM,29,00:29:00
Media,Podcasts,2019/09/15,12:51 PM,2:11 PM,80,01:20:00
Media,Podcasts,2019/09/15,4:25 PM,7:18 PM,173,02:53:00
Media,Podcasts,2019/09/16,1:49 AM,2:00 AM,11,00:11:00
Media,Podcasts,2019/09/17,1:41 AM,2:29 AM,48,00:48:00
Media,Podcasts,2019/09/18,2:11 AM,2:30 AM,19,00:19:00
Media,Podcasts,2019/09/19,12:09 AM,2:00 AM,111,01:51:00
Media,Podcasts,2019/09/19,9:49 AM,11:35 AM,106,01:46:00
Media,Podcasts,2019/09/19,3:53 PM,5:25 PM,92,01:32:00
Media,Podcasts,2019/09/19,11:54 PM,11:59 PM,6,00:06:00
Media,Podcasts,2019/09/20,12:00 AM,1:27 AM,87,01:27:00
Media,Podcasts,2019/09/20,12:58 PM,5:59 PM,301,05:01:00
Media,Podcasts,2019/09/20,7:44 PM,9:59 PM,135,02:15:00
Media,Podcasts,2019/09/21,12:31 AM,2:42 AM,131,02:11:00
Media,Podcasts,2019/09/21,10:47 AM,4:05 PM,318,05:18:00
Media,Podcasts,2019/09/21,7:25 PM,7:28 PM,3,00:03:00
Media,Podcasts,2019/09/21,8:05 PM,8:24 PM,19,00:19:00
Media,Podcasts,2019/09/22,7:18 PM,9:13 PM,115,01:55:00
Media,Podcasts,2019/09/23,12:34 AM,1:36 AM,62,01:02:00
Media,Podcasts,2019/09/23,10:56 AM,1:09 PM,133,02:13:00
Media,Podcasts,2019/09/23,1:10 PM,2:22 PM,72,01:12:00
Media,Podcasts,2019/09/23,3:23 PM,4:45 PM,82,01:22:00
Media,Podcasts,2019/09/24,1:02 AM,1:32 AM,30,00:30:00
Media,Podcasts,2019/09/24,12:40 PM,2:29 PM,109,01:49:00
Media,Podcasts,2019/09/25,1:10 AM,1:30 AM,20,00:20:00
Media,Podcasts,2019/09/26,1:54 AM,3:53 AM,119,01:59:00
Media,Podcasts,2019/09/26,12:45 PM,4:59 PM,254,04:14:00
Media,Podcasts,2019/09/26,8:26 PM,9:46 PM,80,01:20:00
Media,Podcasts,2019/09/27,2:06 AM,2:10 AM,4,00:04:00
Media,Podcasts,2019/09/28,1:11 AM,2:15 AM,64,01:04:00
Media,Podcasts,2019/09/28,6:10 PM,7:03 PM,53,00:53:00
Media,Podcasts,2019/09/28,10:07 PM,11:12 PM,65,01:05:00
Media,Podcasts,2019/09/29,1:18 AM,2:06 AM,48,00:48:00
Media,Podcasts,2019/09/29,1:18 PM,1:39 PM,21,00:21:00
Media,Podcasts,2019/09/29,2:03 PM,6:01 PM,238,03:58:00
Media,Podcasts,2019/09/30,1:19 PM,3:51 PM,152,02:32:00
Media,Podcasts,2019/09/30,4:15 PM,4:53 PM,38,00:38:00
Life,Misc,2019/09/05,10:47 AM,12:07 PM,80,01:20:00
Life,Misc,2019/09/11,10:45 AM,11:05 AM,20,00:20:00
Life,Misc,2019/09/12,9:55 AM,11:08 AM,73,01:13:00
Life,Misc,2019/09/13,10:06 AM,11:26 AM,80,01:20:00
Life,Misc,2019/09/18,9:42 AM,10:29 AM,47,00:47:00
Life,Misc,2019/09/26,10:13 AM,10:55 AM,42,00:42:00
Life,Misc,2019/09/28,10:20 AM,11:02 AM,42,00:42:00
Projects,EDU,2019/09/12,9:55 PM,11:21 PM,86,01:26:00
Projects,EDU,2019/09/13,12:33 AM,1:18 AM,45,00:45:00
Media,Reading,2019/09/04,8:44 AM,9:12 AM,28,00:28:00
Media,Reading,2019/09/06,1:48 AM,1:55 AM,7,00:07:00
Media,Reading,2019/09/08,12:44 AM,1:36 AM,52,00:52:00
Media,Reading,2019/09/21,4:05 PM,4:51 PM,46,00:46:00
Media,Reading,2019/09/21,7:28 PM,7:59 PM,31,00:31:00
Media,Reading,2019/09/21,10:37 PM,11:59 PM,83,01:23:00
Media,Reading,2019/09/22,12:00 AM,12:44 AM,44,00:44:00
Media,Reading,2019/09/24,12:58 AM,1:02 AM,4,00:04:00
Media,Reading,2019/09/25,12:58 AM,1:10 AM,12,00:12:00
Media,Reading,2019/09/28,7:42 PM,10:07 PM,145,02:25:00
Media,Reading,2019/09/30,12:51 AM,2:57 AM,126,02:06:00
Media,Watching,2019/09/01,11:43 AM,7:15 PM,452,07:32:00
Media,Watching,2019/09/02,11:04 AM,11:53 AM,49,00:49:00
Media,Watching,2019/09/02,3:56 PM,11:59 PM,484,08:04:00
Media,Watching,2019/09/03,12:00 AM,1:28 AM,88,01:28:00
Media,Watching,2019/09/04,12:45 AM,1:09 AM,24,00:24:00
Media,Watching,2019/09/04,4:40 PM,5:22 PM,42,00:42:00
Media,Watching,2019/09/04,8:35 PM,8:51 PM,16,00:16:00
Media,Watching,2019/09/05,8:37 PM,11:35 PM,178,02:58:00
Media,Watching,2019/09/06,1:21 AM,1:48 AM,27,00:27:00
Media,Watching,2019/09/06,2:33 PM,11:07 PM,514,08:34:00
Media,Watching,2019/09/07,12:21 PM,1:41 PM,80,01:20:00
Media,Watching,2019/09/07,7:40 PM,7:49 PM,9,00:09:00
Media,Watching,2019/09/07,11:54 PM,11:59 PM,6,00:06:00
Media,Watching,2019/09/08,12:00 AM,12:44 AM,44,00:44:00
Media,Watching,2019/09/08,12:10 PM,1:05 PM,55,00:55:00
Media,Watching,2019/09/08,2:09 PM,3:06 PM,57,00:57:00
Media,Watching,2019/09/09,4:24 PM,8:47 PM,263,04:23:00
Media,Watching,2019/09/12,11:50 AM,12:09 PM,19,00:19:00
Media,Watching,2019/09/13,11:57 AM,4:04 PM,247,04:07:00
Media,Watching,2019/09/13,8:48 PM,11:59 PM,192,03:12:00
Media,Watching,2019/09/14,12:00 AM,1:07 AM,67,01:07:00
Media,Watching,2019/09/14,5:47 PM,10:20 PM,273,04:33:00
Media,Watching,2019/09/15,8:28 PM,10:10 PM,102,01:42:00
Media,Watching,2019/09/16,12:14 AM,1:49 AM,95,01:35:00
Media,Watching,2019/09/16,12:28 PM,1:42 PM,74,01:14:00
Media,Watching,2019/09/16,2:41 PM,6:20 PM,219,03:39:00
Media,Watching,2019/09/16,7:47 PM,11:59 PM,253,04:13:00
Media,Watching,2019/09/17,12:00 AM,1:41 AM,101,01:41:00
Media,Watching,2019/09/18,1:05 AM,2:11 AM,66,01:06:00
Media,Watching,2019/09/18,10:29 AM,10:50 AM,21,00:21:00
Media,Watching,2019/09/18,1:13 PM,2:25 PM,72,01:12:00
Media,Watching,2019/09/18,6:36 PM,9:46 PM,190,03:10:00
Media,Watching,2019/09/19,8:05 PM,8:30 PM,25,00:25:00
Media,Watching,2019/09/21,9:56 AM,10:07 AM,11,00:11:00
Media,Watching,2019/09/21,4:51 PM,7:25 PM,154,02:34:00
Media,Watching,2019/09/22,9:13 PM,9:50 PM,37,00:37:00
Media,Watching,2019/09/22,11:33 PM,11:59 PM,27,00:27:00
Media,Watching,2019/09/23,12:00 AM,12:34 AM,34,00:34:00
Media,Watching,2019/09/23,10:09 AM,10:56 AM,47,00:47:00
Media,Watching,2019/09/23,2:22 PM,3:23 PM,61,01:01:00
Media,Watching,2019/09/23,4:56 PM,7:22 PM,146,02:26:00
Media,Watching,2019/09/23,10:02 PM,11:59 PM,118,01:58:00
Media,Watching,2019/09/24,12:00 AM,12:58 AM,58,00:58:00
Media,Watching,2019/09/24,3:13 PM,4:58 PM,105,01:45:00
Media,Watching,2019/09/24,5:45 PM,7:28 PM,103,01:43:00
Media,Watching,2019/09/25,11:59 AM,3:26 PM,207,03:27:00
Media,Watching,2019/09/26,4:59 PM,8:26 PM,207,03:27:00
Media,Watching,2019/09/28,11:02 AM,11:20 AM,18,00:18:00
Media,Watching,2019/09/28,7:03 PM,7:42 PM,39,00:39:00
